"day","month","year","season","date"
18,2,2000,"winter",2000-02-18
5,3,2000,"spring",2000-03-05
21,3,2000,"spring",2000-03-21
6,4,2000,"spring",2000-04-06
22,4,2000,"spring",2000-04-22
8,5,2000,"spring",2000-05-08
24,5,2000,"spring",2000-05-24
9,6,2000,"summer",2000-06-09
25,6,2000,"summer",2000-06-25
11,7,2000,"summer",2000-07-11
27,7,2000,"summer",2000-07-27
12,8,2000,"summer",2000-08-12
28,8,2000,"summer",2000-08-28
13,9,2000,"fall",2000-09-13
29,9,2000,"fall",2000-09-29
15,10,2000,"fall",2000-10-15
31,10,2000,"fall",2000-10-31
16,11,2000,"fall",2000-11-16
2,12,2000,"winter",2000-12-02
18,12,2000,"winter",2000-12-18
1,1,2001,"winter",2001-01-01
17,1,2001,"winter",2001-01-17
2,2,2001,"winter",2001-02-02
18,2,2001,"winter",2001-02-18
6,3,2001,"spring",2001-03-06
22,3,2001,"spring",2001-03-22
7,4,2001,"spring",2001-04-07
23,4,2001,"spring",2001-04-23
9,5,2001,"spring",2001-05-09
25,5,2001,"spring",2001-05-25
10,6,2001,"summer",2001-06-10
26,6,2001,"summer",2001-06-26
12,7,2001,"summer",2001-07-12
28,7,2001,"summer",2001-07-28
13,8,2001,"summer",2001-08-13
29,8,2001,"summer",2001-08-29
14,9,2001,"fall",2001-09-14
30,9,2001,"fall",2001-09-30
16,10,2001,"fall",2001-10-16
1,11,2001,"fall",2001-11-01
17,11,2001,"fall",2001-11-17
3,12,2001,"winter",2001-12-03
19,12,2001,"winter",2001-12-19
1,1,2002,"winter",2002-01-01
17,1,2002,"winter",2002-01-17
2,2,2002,"winter",2002-02-02
18,2,2002,"winter",2002-02-18
6,3,2002,"spring",2002-03-06
22,3,2002,"spring",2002-03-22
7,4,2002,"spring",2002-04-07
23,4,2002,"spring",2002-04-23
9,5,2002,"spring",2002-05-09
25,5,2002,"spring",2002-05-25
10,6,2002,"summer",2002-06-10
26,6,2002,"summer",2002-06-26
12,7,2002,"summer",2002-07-12
28,7,2002,"summer",2002-07-28
13,8,2002,"summer",2002-08-13
29,8,2002,"summer",2002-08-29
14,9,2002,"fall",2002-09-14
30,9,2002,"fall",2002-09-30
16,10,2002,"fall",2002-10-16
1,11,2002,"fall",2002-11-01
17,11,2002,"fall",2002-11-17
3,12,2002,"winter",2002-12-03
19,12,2002,"winter",2002-12-19
1,1,2003,"winter",2003-01-01
17,1,2003,"winter",2003-01-17
2,2,2003,"winter",2003-02-02
18,2,2003,"winter",2003-02-18
6,3,2003,"spring",2003-03-06
22,3,2003,"spring",2003-03-22
7,4,2003,"spring",2003-04-07
23,4,2003,"spring",2003-04-23
9,5,2003,"spring",2003-05-09
25,5,2003,"spring",2003-05-25
10,6,2003,"summer",2003-06-10
26,6,2003,"summer",2003-06-26
12,7,2003,"summer",2003-07-12
28,7,2003,"summer",2003-07-28
13,8,2003,"summer",2003-08-13
29,8,2003,"summer",2003-08-29
14,9,2003,"fall",2003-09-14
30,9,2003,"fall",2003-09-30
16,10,2003,"fall",2003-10-16
1,11,2003,"fall",2003-11-01
17,11,2003,"fall",2003-11-17
3,12,2003,"winter",2003-12-03
19,12,2003,"winter",2003-12-19
1,1,2004,"winter",2004-01-01
17,1,2004,"winter",2004-01-17
2,2,2004,"winter",2004-02-02
18,2,2004,"winter",2004-02-18
5,3,2004,"spring",2004-03-05
21,3,2004,"spring",2004-03-21
6,4,2004,"spring",2004-04-06
22,4,2004,"spring",2004-04-22
8,5,2004,"spring",2004-05-08
24,5,2004,"spring",2004-05-24
9,6,2004,"summer",2004-06-09
25,6,2004,"summer",2004-06-25
11,7,2004,"summer",2004-07-11
27,7,2004,"summer",2004-07-27
12,8,2004,"summer",2004-08-12
28,8,2004,"summer",2004-08-28
13,9,2004,"fall",2004-09-13
